commodity_id,category,commodity
52,cereals and tubers,Rice - Retail
58,cereals and tubers,Wheat flour - Retail
61,pulses and nuts,Lentils (masur) - Retail
62,oil and fats,Oil (palm) - Retail
83,cereals and tubers,Potatoes - Retail
84,cereals and tubers,Wheat - Retail
97,miscellaneous food,Sugar - Retail
108,pulses and nuts,Lentils - Retail
114,vegetables and fruits,Tomatoes - Retail
173,vegetables and fruits,Onions - Retail
175,miscellaneous food,Tea (black) - Retail
184,oil and fats,Oil (sunflower) - Retail
228,oil and fats,Oil (mustard) - Retail
245,oil and fats,Oil (groundnut) - Retail
306,oil and fats,Oil (soybean) - Retail
325,pulses and nuts,Lentils (moong) - Retail
331,miscellaneous food,Sugar (jaggery/gur) - Retail
332,pulses and nuts,Lentils (urad) - Retail
333,oil and fats,Ghee (vanaspati) - Retail
334,miscellaneous food,Salt (iodised) - Retail
463,milk and dairy,Milk (pasteurized) - Retail
53,cereals and tubers,Rice - Wholesale
81,milk and dairy,Milk - Retail
85,cereals and tubers,Wheat - Wholesale
244,pulses and nuts,Chickpeas - Retail
98,miscellaneous food,Sugar - Wholesale
